Startup_ID,Team_Size,Founder_Experience_Years,Startup_Age_Years,Industry,City,Funding_Goal,Funding_Raised,Funding_Success,Growth_Rate,Revenue
36,16,8,10,AI,Mumbai,1904997,2055909,Yes,High,5000000
37,18,12,1,EdTech,Bangalore,1259346,2194044,Yes,High,5000000
38,11,6,6,E-Commerce,Delhi,1326874,848038,No,Low,500000
39,13,9,7,CleanTech,Kolkata,1519418,1360134,No,Low,500000
40,3,15,5,CleanTech,Bangalore,251535,1349141,Yes,High,5000000
41,2,8,5,CleanTech,Kolkata,715576,1039060,Yes,High,5000000
42,19,13,6,FinTech,Hyderabad,418101,199641,No,Low,500000
43,12,8,9,E-Commerce,Mumbai,1624067,1754287,Yes,High,5000000
44,17,9,4,AI,Delhi,793751,913358,Yes,High,5000000
45,20,9,9,FinTech,Bangalore,259911,204698,No,Low,500000
46,19,9,3,CleanTech,Delhi,1793621,818352,No,Low,500000
47,16,10,10,AI,Pune,1786420,920753,No,Low,500000
48,12,2,8,CleanTech,Bangalore,1816395,503454,No,Low,500000
49,6,9,5,EdTech,Hyderabad,1374004,582527,No,Low,500000
50,10,10,1,FinTech,Bangalore,633949,962006,Yes,High,5000000
51,11,7,9,CleanTech,Kolkata,981124,1047045,Yes,High,5000000
52,12,11,10,E-Commerce,Kolkata,1894932,1657792,No,Low,500000
53,20,11,4,AI,Kolkata,1746776,2453459,Yes,High,5000000
54,3,6,6,E-Commerce,Bangalore,1573493,145923,No,Low,500000
55,14,11,5,HealthTech,Hyderabad,605454,2348909,Yes,High,5000000
56,3,15,6,CleanTech,Pune,1155947,1982329,Yes,High,5000000
57,6,15,5,HealthTech,Mumbai,612685,109440,No,Low,500000
58,2,4,2,FinTech,Hyderabad,1840387,1459764,No,Low,500000
59,13,14,8,FinTech,Chennai,243512,1886892,Yes,High,5000000
60,13,15,7,FinTech,Pune,1745253,1904674,Yes,High,5000000
61,9,13,3,EdTech,Pune,1762930,2427678,Yes,High,5000000
62,8,13,1,AgriTech,Delhi,497779,1004150,Yes,High,5000000
63,17,13,4,AgriTech,Delhi,545868,1250013,Yes,High,5000000
64,5,3,7,AgriTech,Pune,1428257,645895,No,Low,500000
65,20,14,5,AgriTech,Pune,1834131,1748349,No,Low,500000
66,19,11,1,EdTech,Chennai,1558257,1767983,Yes,High,5000000
67,7,15,10,FinTech,Kolkata,606420,362632,No,Low,500000
68,18,3,1,CleanTech,Pune,200412,982659,Yes,High,5000000
69,14,6,2,AI,Delhi,290632,2129349,Yes,High,5000000
70,2,4,4,CleanTech,Mumbai,759829,2428275,Yes,High,5000000
71,13,8,7,HealthTech,Mumbai,1341183,2480387,Yes,High,5000000
72,7,9,9,HealthTech,Kolkata,1701643,1875646,Yes,High,5000000
73,4,15,9,AgriTech,Chennai,1198641,50323,No,Low,500000
74,4,3,6,AgriTech,Chennai,869721,1530724,Yes,High,5000000
75,6,8,10,E-Commerce,Chennai,66601,2187706,Yes,High,5000000
76,10,0,1,EdTech,Delhi,256358,1943514,Yes,High,5000000
77,17,1,10,AI,Chennai,1935366,854379,No,Low,500000
78,13,14,7,AI,Delhi,222951,1601349,Yes,High,5000000
79,15,5,7,CleanTech,Delhi,1346905,1406575,Yes,High,5000000
80,19,7,9,E-Commerce,Kolkata,901254,1489677,Yes,High,5000000
81,12,7,4,CleanTech,Chennai,1164339,860464,No,Low,500000
82,7,11,1,CleanTech,Kolkata,262528,289568,Yes,High,5000000
83,4,0,7,AI,Kolkata,1536251,1549627,Yes,High,5000000
84,14,15,7,HealthTech,Hyderabad,1919351,1956418,Yes,High,5000000
85,20,14,9,CleanTech,Kolkata,1607236,1819735,Yes,High,5000000
86,8,10,10,E-Commerce,Mumbai,1845504,1176568,No,Low,500000
87,19,14,2,HealthTech,Bangalore,840304,167676,No,Low,500000
88,3,15,1,E-Commerce,Bangalore,1175121,1219334,Yes,High,5000000
89,7,4,1,FinTech,Hyderabad,1605485,899865,No,Low,500000
90,16,5,9,E-Commerce,Mumbai,1218010,965967,No,Low,500000
91,9,5,5,AI,Pune,1752006,1192267,No,Low,500000
92,4,8,1,FinTech,Bangalore,1103451,727621,No,Low,500000
93,14,6,9,E-Commerce,Delhi,887614,772343,No,Low,500000
94,13,3,2,E-Commerce,Mumbai,599655,2468347,Yes,High,5000000
95,14,11,8,CleanTech,Pune,1396634,1333422,No,Low,500000
96,12,11,3,AI,Pune,1763241,1051361,No,Low,500000
97,12,10,8,AI,Hyderabad,1491165,1637852,Yes,High,5000000
98,9,10,6,CleanTech,Mumbai,412821,1869898,Yes,High,5000000
99,8,15,9,FinTech,Pune,1923506,445945,No,Low,500000
100,2,9,1,E-Commerce,Delhi,1736148,1349999,No,Low,500000
101,6,3,2,AgriTech,Mumbai,570458,1979006,Yes,High,5000000
102,6,0,10,FinTech,Hyderabad,1032752,376093,No,Low,500000
103,3,11,6,AgriTech,Delhi,184981,2036963,Yes,High,5000000
104,14,2,10,CleanTech,Bangalore,1713498,2210696,Yes,High,5000000
105,19,12,4,AgriTech,Mumbai,1412823,1995105,Yes,High,5000000
106,5,3,5,EdTech,Hyderabad,667730,704376,Yes,High,5000000
107,17,11,9,CleanTech,Bangalore,424650,622047,Yes,High,5000000
108,13,11,8,E-Commerce,Hyderabad,1590730,602150,No,Low,500000
109,13,15,1,EdTech,Pune,994085,717260,No,Low,500000
110,13,14,4,FinTech,Pune,1562124,1166975,No,Low,500000
111,20,3,10,AI,Hyderabad,567014,2335903,Yes,High,5000000
112,16,0,10,AgriTech,Bangalore,224668,878645,Yes,High,5000000
113,11,8,8,HealthTech,Mumbai,1936145,1464493,No,Low,500000
114,20,5,8,FinTech,Delhi,1685843,1444756,No,Low,500000
115,3,8,5,AgriTech,Pune,1707947,936380,No,Low,500000
116,4,8,9,AI,Hyderabad,693137,2342850,Yes,High,5000000
117,20,7,1,AgriTech,Delhi,672899,301409,No,Low,500000
118,12,8,5,AgriTech,Bangalore,631528,1466944,Yes,High,5000000
119,20,9,3,E-Commerce,Pune,1425865,58464,No,Low,500000
120,16,4,5,AgriTech,Pune,1906156,2134430,Yes,High,5000000
121,20,2,6,CleanTech,Kolkata,1690880,2494317,Yes,High,5000000
122,19,3,8,FinTech,Pune,1104426,1798170,Yes,High,5000000
123,4,13,3,E-Commerce,Chennai,586334,1649885,Yes,High,5000000
124,4,2,4,AgriTech,Mumbai,1886338,1466075,No,Low,500000
125,6,2,1,FinTech,Hyderabad,1612810,1605240,No,Low,500000
126,15,3,8,FinTech,Delhi,1684029,199141,No,Low,500000
127,8,9,5,AgriTech,Delhi,1627554,628259,No,Low,500000
128,14,1,1,FinTech,Bangalore,78777,677967,Yes,High,5000000
129,5,10,2,HealthTech,Bangalore,1917961,1109885,No,Low,500000
130,19,3,2,HealthTech,Chennai,690898,132651,No,Low,500000
131,3,4,10,E-Commerce,Hyderabad,546743,560643,Yes,High,5000000
132,2,1,10,AI,Delhi,1549683,600495,No,Low,500000
133,12,14,2,EdTech,Hyderabad,267424,2445432,Yes,High,5000000
134,2,3,10,E-Commerce,Hyderabad,717499,2446944,Yes,High,5000000
135,14,0,10,AgriTech,Bangalore,1971018,752447,No,Low,500000
136,7,0,10,FinTech,Kolkata,119966,1348313,Yes,High,5000000
137,17,3,7,FinTech,Hyderabad,1307253,705699,No,Low,500000
138,4,9,2,AI,Delhi,656225,178993,No,Low,500000
139,14,4,2,AgriTech,Mumbai,419407,1398375,Yes,High,5000000
140,5,3,7,AI,Delhi,644555,1667690,Yes,High,5000000
141,10,14,6,FinTech,Kolkata,891833,917693,Yes,High,5000000
142,9,2,1,AI,Kolkata,807906,586863,No,Low,500000
143,11,5,7,EdTech,Delhi,1131255,2477244,Yes,High,5000000
144,2,15,10,FinTech,Bangalore,1094802,127743,No,Low,500000
145,9,11,5,E-Commerce,Hyderabad,1366669,382350,No,Low,500000
146,15,8,4,CleanTech,Pune,1398900,2219489,Yes,High,5000000
147,11,1,8,EdTech,Pune,1735868,1298382,No,Low,500000
148,11,11,8,E-Commerce,Pune,1659978,1582835,No,Low,500000
149,15,15,6,CleanTech,Chennai,940359,583016,No,Low,500000
150,7,0,6,E-Commerce,Chennai,1112062,1379262,Yes,High,5000000
151,11,9,6,HealthTech,Bangalore,1284845,640227,No,Low,500000
152,16,11,8,EdTech,Bangalore,1864701,351246,No,Low,500000
153,5,1,7,EdTech,Chennai,1338316,262192,No,Low,500000
154,2,12,3,AI,Mumbai,405466,2352397,Yes,High,5000000
155,5,5,5,E-Commerce,Mumbai,1087409,1271247,Yes,High,5000000
156,10,9,7,EdTech,Bangalore,1841661,2094259,Yes,High,5000000
157,8,11,1,EdTech,Bangalore,1628120,1949312,Yes,High,5000000
158,6,3,6,AI,Delhi,1674818,2048912,Yes,High,5000000
159,4,15,3,CleanTech,Mumbai,867672,888682,Yes,High,5000000
160,4,9,9,CleanTech,Bangalore,510199,1645685,Yes,High,5000000
161,9,14,3,AI,Bangalore,1812159,480736,No,Low,500000
162,2,9,2,AgriTech,Bangalore,998753,2349208,Yes,High,5000000
163,12,3,7,E-Commerce,Pune,199380,2264999,Yes,High,5000000
164,7,14,3,AI,Delhi,1288888,1716910,Yes,High,5000000
165,2,7,8,AgriTech,Kolkata,807718,1395678,Yes,High,5000000
166,2,5,6,AgriTech,Mumbai,1417454,1195032,No,Low,500000
167,17,5,3,HealthTech,Mumbai,874016,1459355,Yes,High,5000000
168,18,12,6,AgriTech,Bangalore,1852910,1446380,No,Low,500000
169,8,2,4,HealthTech,Pune,1546261,2219639,Yes,High,5000000
170,12,3,9,HealthTech,Hyderabad,506248,861046,Yes,High,5000000
171,13,8,5,HealthTech,Mumbai,861115,1334773,Yes,High,5000000
172,8,5,6,CleanTech,Delhi,664523,556490,No,Low,500000
173,8,6,3,CleanTech,Bangalore,215459,565342,Yes,High,5000000
174,18,14,9,E-Commerce,Mumbai,1539132,1741394,Yes,High,5000000
175,15,1,3,E-Commerce,Kolkata,362745,709962,Yes,High,5000000
176,13,3,10,FinTech,Delhi,1684765,986764,No,Low,500000
177,19,0,5,HealthTech,Bangalore,1234423,1935416,Yes,High,5000000
178,10,5,8,HealthTech,Bangalore,1995935,1429446,No,Low,500000
179,3,6,7,CleanTech,Kolkata,678722,356672,No,Low,500000
180,4,8,1,AI,Hyderabad,1432748,1935372,Yes,High,5000000
181,6,10,5,AgriTech,Delhi,1645843,365250,No,Low,500000
182,5,2,8,EdTech,Hyderabad,158265,460723,Yes,High,5000000
183,20,3,9,AI,Chennai,1574302,1405135,No,Low,500000
184,12,12,6,E-Commerce,Bangalore,1272627,211060,No,Low,500000
185,13,8,9,CleanTech,Kolkata,1164499,293725,No,Low,500000
186,13,6,1,AgriTech,Bangalore,385941,570762,Yes,High,5000000
187,9,6,10,CleanTech,Mumbai,319382,1993015,Yes,High,5000000
188,6,13,6,EdTech,Mumbai,772925,713297,No,Low,500000
189,12,1,3,CleanTech,Bangalore,371706,1430649,Yes,High,5000000
190,16,12,2,CleanTech,Bangalore,689153,2445498,Yes,High,5000000
191,13,6,2,HealthTech,Hyderabad,719634,1694985,Yes,High,5000000
192,2,4,4,E-Commerce,Hyderabad,1898928,1286532,No,Low,500000
193,16,5,5,FinTech,Mumbai,77496,1638593,Yes,High,5000000
194,3,7,6,EdTech,Chennai,1164499,849416,No,Low,500000
195,4,3,2,CleanTech,Pune,1005016,2147153,Yes,High,5000000
196,11,1,8,EdTech,Hyderabad,1096767,2032210,Yes,High,5000000
197,14,5,7,CleanTech,Bangalore,545624,2337158,Yes,High,5000000
198,19,11,2,AI,Bangalore,58424,1994407,Yes,High,5000000
199,15,9,2,CleanTech,Bangalore,1225069,1630731,Yes,High,5000000
200,17,6,9,AgriTech,Chennai,1773614,1939958,Yes,High,5000000
201,10,1,9,AI,Chennai,535183,1247674,Yes,High,5000000
202,16,11,7,EdTech,Bangalore,1769070,1569245,No,Low,500000
203,18,0,1,EdTech,Delhi,89650,2449954,Yes,High,5000000
204,3,12,4,E-Commerce,Chennai,1245281,2057929,Yes,High,5000000
205,12,2,4,AI,Hyderabad,194276,1069550,Yes,High,5000000
206,7,7,1,EdTech,Mumbai,1150941,1125297,No,Low,500000
207,6,14,8,E-Commerce,Chennai,614206,939662,Yes,High,5000000
208,17,8,2,E-Commerce,Mumbai,1014762,2356519,Yes,High,5000000
209,4,2,5,FinTech,Bangalore,1679889,586757,No,Low,500000
210,14,2,8,AI,Pune,1509318,1406384,No,Low,500000
211,3,14,4,FinTech,Bangalore,1957058,1477608,No,Low,500000
212,11,9,4,EdTech,Bangalore,1051080,1343717,Yes,High,5000000
213,18,1,1,HealthTech,Hyderabad,306533,1762633,Yes,High,5000000
214,3,9,10,HealthTech,Kolkata,179643,966656,Yes,High,5000000
215,18,7,2,FinTech,Bangalore,720499,286620,No,Low,500000
216,18,7,4,AgriTech,Delhi,886058,572840,No,Low,500000
217,20,9,7,AgriTech,Hyderabad,914483,175845,No,Low,500000
218,4,10,4,CleanTech,Kolkata,633257,2065537,Yes,High,5000000
219,3,5,2,EdTech,Mumbai,1526581,1485785,No,Low,500000
220,11,4,8,E-Commerce,Kolkata,624095,306303,No,Low,500000
221,20,5,3,CleanTech,Bangalore,1257869,1163098,No,Low,500000
222,12,10,8,EdTech,Kolkata,1742259,2347555,Yes,High,5000000
223,13,15,5,E-Commerce,Pune,1032750,1831416,Yes,High,5000000
224,13,0,7,AgriTech,Hyderabad,1922780,1651680,No,Low,500000
225,14,10,7,HealthTech,Mumbai,72949,1041361,Yes,High,5000000
226,20,12,2,HealthTech,Delhi,1067336,2216563,Yes,High,5000000
227,2,1,5,E-Commerce,Bangalore,1612181,1543249,No,Low,500000
228,2,10,4,AgriTech,Bangalore,65844,264658,Yes,High,5000000
229,12,8,1,E-Commerce,Pune,480742,1660843,Yes,High,5000000
230,3,11,7,AI,Bangalore,242155,669985,Yes,High,5000000
231,5,2,8,AI,Bangalore,364498,1550726,Yes,High,5000000
232,11,11,1,FinTech,Kolkata,1954423,1999799,Yes,High,5000000
233,18,6,9,EdTech,Kolkata,50748,1048429,Yes,High,5000000
234,13,15,10,CleanTech,Mumbai,1392741,212105,No,Low,500000
235,4,8,5,HealthTech,Bangalore,597121,1593584,Yes,High,5000000
236,20,10,3,CleanTech,Bangalore,1665973,2484243,Yes,High,5000000
237,7,6,4,E-Commerce,Pune,1560089,2438172,Yes,High,5000000
238,13,9,6,AgriTech,Delhi,1061919,1788730,Yes,High,5000000
239,17,12,7,HealthTech,Hyderabad,656436,2008919,Yes,High,5000000
240,8,2,7,AI,Kolkata,1368400,1916002,Yes,High,5000000
241,12,5,7,EdTech,Hyderabad,1975161,261932,No,Low,500000
242,19,11,2,EdTech,Mumbai,644990,1386193,Yes,High,5000000
243,20,4,7,FinTech,Delhi,127445,2135968,Yes,High,5000000
244,15,1,2,CleanTech,Delhi,992750,1767106,Yes,High,5000000
245,11,11,1,E-Commerce,Mumbai,1085413,2455139,Yes,High,5000000
246,5,14,10,AI,Mumbai,315818,2129453,Yes,High,5000000
247,8,1,2,FinTech,Chennai,1519141,159068,No,Low,500000
248,5,7,2,HealthTech,Chennai,123811,888560,Yes,High,5000000
249,11,2,10,E-Commerce,Hyderabad,541976,1588215,Yes,High,5000000
250,3,12,7,FinTech,Pune,1073867,1979206,Yes,High,5000000
251,12,12,4,E-Commerce,Pune,126132,1399703,Yes,High,5000000
252,11,8,9,AI,Bangalore,1817672,1798261,No,Low,500000
253,17,5,10,AgriTech,Pune,1106588,1305366,Yes,High,5000000
254,12,12,3,EdTech,Pune,1604166,194655,No,Low,500000
255,4,10,3,HealthTech,Delhi,1684930,1843366,Yes,High,5000000
256,3,7,8,CleanTech,Delhi,1783087,608280,No,Low,500000
257,3,3,5,EdTech,Delhi,59994,1403573,Yes,High,5000000
258,3,12,1,HealthTech,Chennai,966043,727046,No,Low,500000
259,12,11,8,FinTech,Mumbai,587138,769640,Yes,High,5000000
260,5,9,2,EdTech,Pune,536023,1065733,Yes,High,5000000
261,12,5,2,AgriTech,Mumbai,268814,1969715,Yes,High,5000000
262,13,7,9,CleanTech,Mumbai,624359,2095074,Yes,High,5000000
263,5,0,8,EdTech,Pune,980111,644075,No,Low,500000
264,19,10,2,E-Commerce,Delhi,546923,107936,No,Low,500000
265,8,0,3,CleanTech,Bangalore,1518880,1254071,No,Low,500000
266,7,0,10,FinTech,Chennai,430119,773353,Yes,High,5000000
267,7,9,6,CleanTech,Pune,552929,24540,No,Low,500000
268,16,9,7,HealthTech,Delhi,1454419,2379835,Yes,High,5000000
269,5,4,5,CleanTech,Bangalore,1029415,65480,No,Low,500000
270,11,9,3,AI,Bangalore,1618561,725741,No,Low,500000
271,2,11,6,EdTech,Pune,85396,537257,Yes,High,5000000
272,17,1,1,HealthTech,Kolkata,1675581,212637,No,Low,500000
273,19,12,1,EdTech,Pune,942088,2142710,Yes,High,5000000
274,13,15,3,AgriTech,Kolkata,1725309,396715,No,Low,500000
275,9,2,2,HealthTech,Delhi,1742912,486587,No,Low,500000
276,13,11,9,AgriTech,Pune,1258552,1513799,Yes,High,5000000
277,10,2,9,AgriTech,Mumbai,1424808,1708821,Yes,High,5000000
278,20,2,10,HealthTech,Bangalore,1526277,2228544,Yes,High,5000000
279,8,14,9,CleanTech,Delhi,132184,323819,Yes,High,5000000
280,17,0,9,HealthTech,Hyderabad,183640,1443897,Yes,High,5000000
281,5,2,9,E-Commerce,Bangalore,1517910,161514,No,Low,500000
282,14,13,9,EdTech,Hyderabad,1724881,2456584,Yes,High,5000000
283,18,5,8,FinTech,Chennai,928230,631277,No,Low,500000
284,3,13,1,AI,Kolkata,1601157,287088,No,Low,500000
285,20,10,6,AgriTech,Pune,1011561,1252984,Yes,High,5000000
286,4,10,10,FinTech,Delhi,1416615,673168,No,Low,500000
287,16,10,2,AI,Bangalore,767696,531032,No,Low,500000
288,5,9,9,CleanTech,Chennai,654477,1029317,Yes,High,5000000
289,16,5,4,HealthTech,Mumbai,969404,1367013,Yes,High,5000000
290,11,3,4,EdTech,Chennai,636707,519259,No,Low,500000
291,17,10,4,HealthTech,Mumbai,1152387,2420038,Yes,High,5000000
292,3,15,6,AI,Bangalore,1635062,1541526,No,Low,500000
293,8,0,7,E-Commerce,Mumbai,1456236,2182973,Yes,High,5000000
294,16,9,10,AI,Kolkata,819280,2021288,Yes,High,5000000
295,11,11,8,FinTech,Bangalore,632380,1973776,Yes,High,5000000
296,18,9,4,HealthTech,Pune,1572616,1381689,No,Low,500000
297,16,13,4,EdTech,Pune,495135,1933635,Yes,High,5000000
298,16,15,10,FinTech,Bangalore,1540908,307507,No,Low,500000
299,15,1,3,AI,Chennai,1243729,1340853,Yes,High,5000000
300,20,14,3,AI,Chennai,945902,1808884,Yes,High,5000000
301,19,9,8,CleanTech,Delhi,513244,523431,Yes,High,5000000
302,8,13,10,HealthTech,Delhi,207809,1159054,Yes,High,5000000
303,13,13,10,FinTech,Bangalore,720291,926203,Yes,High,5000000
304,20,14,4,CleanTech,Bangalore,1157592,177415,No,Low,500000
305,10,2,9,AI,Pune,153289,1882535,Yes,High,5000000
306,10,1,7,CleanTech,Kolkata,377405,678766,Yes,High,5000000
307,4,7,7,AgriTech,Kolkata,388393,885535,Yes,High,5000000
308,5,10,9,HealthTech,Chennai,988698,1825821,Yes,High,5000000
309,2,10,8,AI,Kolkata,560038,36337,No,Low,500000
310,13,10,10,E-Commerce,Chennai,1508670,828259,No,Low,500000
311,6,1,4,E-Commerce,Mumbai,712130,1843459,Yes,High,5000000
312,5,12,2,E-Commerce,Mumbai,1502308,1393366,No,Low,500000
313,14,8,4,AgriTech,Kolkata,1184422,1974358,Yes,High,5000000
314,13,7,10,E-Commerce,Pune,1141194,208215,No,Low,500000
315,16,12,10,CleanTech,Chennai,183427,1714488,Yes,High,5000000
316,10,15,8,AgriTech,Bangalore,140809,988655,Yes,High,5000000
317,12,2,2,E-Commerce,Bangalore,1133692,2480207,Yes,High,5000000
318,18,9,3,CleanTech,Delhi,1886201,1604354,No,Low,500000
319,12,3,3,AI,Bangalore,1009988,1498182,Yes,High,5000000
320,8,1,9,AgriTech,Chennai,98726,1749669,Yes,High,5000000
321,6,11,4,HealthTech,Mumbai,55117,2074822,Yes,High,5000000
322,19,1,3,EdTech,Delhi,1224063,1549538,Yes,High,5000000
323,16,13,6,FinTech,Kolkata,1847955,1346373,No,Low,500000
324,7,6,8,HealthTech,Mumbai,124296,492244,Yes,High,5000000
325,6,5,1,E-Commerce,Hyderabad,1025366,2385127,Yes,High,5000000
326,4,4,2,AI,Hyderabad,1586674,2300226,Yes,High,5000000
327,19,5,7,HealthTech,Pune,647110,1285305,Yes,High,5000000
328,10,8,9,AgriTech,Hyderabad,661906,1523962,Yes,High,5000000
329,8,8,4,FinTech,Bangalore,510499,751022,Yes,High,5000000
330,6,0,8,AgriTech,Hyderabad,1436267,360768,No,Low,500000
331,16,7,7,HealthTech,Pune,1577175,1504315,No,Low,500000
332,4,12,8,EdTech,Chennai,564034,1234329,Yes,High,5000000
333,15,13,8,FinTech,Kolkata,1547233,1364449,No,Low,500000
334,16,0,4,FinTech,Chennai,689013,1291980,Yes,High,5000000
335,13,3,3,HealthTech,Kolkata,83786,787683,Yes,High,5000000
336,2,13,8,EdTech,Kolkata,577923,1063015,Yes,High,5000000
337,5,1,9,AgriTech,Chennai,660684,1880219,Yes,High,5000000
338,6,13,10,AgriTech,Hyderabad,536067,1646485,Yes,High,5000000
339,8,1,3,HealthTech,Pune,64630,1678126,Yes,High,5000000
340,17,13,10,FinTech,Hyderabad,1798478,1443915,No,Low,500000
341,2,3,1,AgriTech,Hyderabad,1850876,1410172,No,Low,500000
342,6,11,10,EdTech,Pune,661198,2401734,Yes,High,5000000
343,15,9,7,HealthTech,Delhi,1961691,919956,No,Low,500000
344,19,11,2,CleanTech,Kolkata,1505705,2423966,Yes,High,5000000
345,4,9,6,CleanTech,Hyderabad,1343312,1278598,No,Low,500000
346,3,12,2,E-Commerce,Chennai,722739,2337727,Yes,High,5000000
347,20,2,4,HealthTech,Kolkata,1179803,1964277,Yes,High,5000000
348,2,6,4,CleanTech,Pune,1931153,1556244,No,Low,500000
349,5,2,3,AI,Chennai,550463,1313721,Yes,High,5000000
350,13,13,2,CleanTech,Delhi,1063073,1736847,Yes,High,5000000
351,20,10,7,HealthTech,Kolkata,1959204,1681003,No,Low,500000
352,3,14,5,AgriTech,Bangalore,880425,1769992,Yes,High,5000000
353,8,0,4,AI,Delhi,1559655,1181886,No,Low,500000
354,18,13,1,AgriTech,Pune,290831,411809,Yes,High,5000000
355,13,0,5,HealthTech,Delhi,1036307,1093606,Yes,High,5000000
356,2,11,8,E-Commerce,Bangalore,777812,1004934,Yes,High,5000000
357,4,3,2,FinTech,Chennai,212189,487876,Yes,High,5000000
358,14,14,2,HealthTech,Bangalore,1808487,1618324,No,Low,500000
359,9,2,10,CleanTech,Mumbai,106371,627574,Yes,High,5000000
360,11,14,10,CleanTech,Kolkata,1354792,1941532,Yes,High,5000000
361,17,14,3,HealthTech,Mumbai,1817890,1976321,Yes,High,5000000
362,9,2,2,AgriTech,Chennai,304815,1154272,Yes,High,5000000
363,9,4,6,E-Commerce,Delhi,249123,1627942,Yes,High,5000000
364,12,4,1,AgriTech,Chennai,931264,613078,No,Low,500000
365,2,10,8,AgriTech,Mumbai,833925,2291712,Yes,High,5000000
366,15,14,9,AI,Kolkata,849285,1979906,Yes,High,5000000
367,5,3,1,E-Commerce,Mumbai,1927784,2222025,Yes,High,5000000
368,4,4,4,CleanTech,Chennai,615932,1317379,Yes,High,5000000
369,12,6,10,E-Commerce,Bangalore,1606080,500027,No,Low,500000
370,12,6,2,HealthTech,Hyderabad,475646,75623,No,Low,500000
371,20,4,10,AgriTech,Delhi,849700,680038,No,Low,500000
372,8,6,5,AI,Kolkata,1327367,2413476,Yes,High,5000000
373,12,3,9,HealthTech,Bangalore,684912,866927,Yes,High,5000000
374,6,5,7,FinTech,Delhi,1141410,1091930,No,Low,500000
375,20,1,6,EdTech,Kolkata,447330,1469653,Yes,High,5000000
376,7,0,6,FinTech,Bangalore,842193,1955186,Yes,High,5000000
377,12,14,7,E-Commerce,Kolkata,1663379,89643,No,Low,500000
378,9,2,3,AgriTech,Delhi,1458958,415394,No,Low,500000
379,6,8,3,E-Commerce,Mumbai,571936,863008,Yes,High,5000000
380,13,10,7,HealthTech,Bangalore,702930,1855140,Yes,High,5000000
381,19,11,2,FinTech,Hyderabad,535450,1221782,Yes,High,5000000
382,11,4,9,E-Commerce,Delhi,1725263,2297527,Yes,High,5000000
383,7,12,2,CleanTech,Hyderabad,391078,237254,No,Low,500000
384,20,9,6,AgriTech,Delhi,334582,1424097,Yes,High,5000000
385,19,3,8,E-Commerce,Bangalore,1088418,708019,No,Low,500000
386,13,15,3,FinTech,Mumbai,1319122,1105164,No,Low,500000
387,4,2,8,AI,Pune,1722786,1690331,No,Low,500000
388,5,2,1,CleanTech,Hyderabad,458151,352401,No,Low,500000
389,10,6,4,AgriTech,Delhi,109731,2213800,Yes,High,5000000
390,2,10,4,CleanTech,Mumbai,211074,701634,Yes,High,5000000
